Employee_ID,Employee_Name,Manager_Employee_ID,Gender,Date_Of_Birth,Mail_ID,Department,Designation,Region_Location,Source_Of_Hiring,Cost_Per_Hire,Experience_Type,Date_Of_Joining,Last_Working_Date,Total_Working_Days,Days_Present,Sick_Leaves_Taken,Casual_Leaves_Taken,Unplanned_Absences,Late_Arrival_Count,Reason_For_Leaving,Employment_Status,Work_Mode,Transportation_Type,Annual_CTC,Training_Hours,Overtime_Hours,Productivity_Score,KPI_Achievement_Rate,Engagement_Score,Satisfaction_Score,Flight_Risk_Indicator,Performance_Rating
EMP-0012,kavitha venkatesh,DIR-0001,female,15 Aug 1982,kavitha.venkatesh@company.com,Technology,MANAGER,North - Delhi,Naukri,0,Experienced,2018-11-02,,240,226.0,4,8.0,2.0,1,,Active,Hybrid,Public Transport,27.26,79,31,71,67,8,4,High,3.0
EMP-0013,Meera Patel,EMP-0160,Female,05-12-1998,MEERA.PATEL@COMPANY.COM,Sales & Mktg,executive,BENGALURU,Recruitment Agency,78005,Fresher,2022-05-17,,240,214.0,13,8.0,5.0,22,,Active,onsite,Own Vehicle,23.89 LPA,81,31,0.67,65%,9,1,High,4.0
EMP-0014,SANJAY REDDY,EMP-0260,female,12-09-1972,sanjay_reddy@yahoo.com,Finance,SENIOR EXECUTIVE,South - Bangalore,Company Career Site,0,Experienced,05-29-2022,28/01/2023,240,212.0,12,4.0,12.0,12,Work-Life Balance / Burnout,INACTIVE,Onsite,own vehicle,8.7,34,27,63,63,6,2,High,3.0
EMP-0015,ANITHA PATEL,EMP-0300,,20 Aug 1978,anitha.patel@outlook.com,Operations,team lead,,Employee Referral,5000,Experienced,,,240,222.0,6,10.0,2.0,4,,Active,ONSITE,Company Cab,"$9,540",91,12,66,77,7,3,medium,3.0
EMP-0016,Priya Reddy,EMP-0300,female,04/11/1984,priya.reddy@company.com,Operations,  Executive ,chennai,Recruitment Agency,83249,Experienced,2021/08/19,21 Apr 2023,240,222.0,7 days,4.0,7.0,20,Better Career Growth,Inactive,onsite,Own Vehicle,7.99,98,30,78%,80,1,1,HIGH,1.0
EMP-0017,Anitha Patel,EMP-0100,F,31 Mar 1994,anitha.patel@yahoo.com,IT,executive,South - Bangalore,Company Career Site,0,FRESHER,2018-06-21,,240,219.0,10,4.0,7.0,21,,Active,Onsite,company cab,10.95,21,13,71,72%,9,2,High,5.0
EMP-0018,MANOJ NAIR,EMP-0100,M,21/07/1987,manoj.nair@outlook.com,Technology,Executive,West - Mumbai,LinkedIn,0,Fresher,19 Apr 2024,,240,218.0,7,7.0,8.0,15,,Active,hybrid,Company Cab,16.36,24,19,47,50,Low,1,High,4.0
EMP-0019,ANITHA SINGH,EMP-0050,F,03 May 1995,anitha.singh@yahoo.com,IT,Assistant Manager,DELHI,Company Career Site,0,Experienced,08/04/2020,,240,215.0,11,5.0,9.0,13 times,,Active,ONSITE,own vehicle,14.08 LPA,68,17,65,64,7,1,High,
EMP-0020,ananya reddy,EMP-0120,Female,02/10/1984,ananya.reddy@yahoo.com,Engineering,  Assistant Manager ,BENGALURU,EMPLOYEE REFERRAL,5000,Experienced,13 May 2024,,240,226.0,3,9.0,2.0,2,,Active,Onsite,Company Cab,10.64,35,28,58,54,5,3,medium,2.0
EMP-0021,lakshmi iyer,EMP-0350,F,09-16-1976,lakshmi_iyer@company.com,Operations,team lead,South - Chennai,Campus Drive,16022,Experienced,2023/02/24,,240,224.0,6,9.0,1.0,4,,Active,ONSITE,Company Cab,"INR 1,848,999",35,5,53%,50%,8,3,Medium,3.0
EMP-0022,  Rajesh   Joshi ,EMP-0100,Male,01-26-1977,rajesh.joshi@outlook.com,Technology,team lead,West - Mumbai,Company Career Site,0,Experienced,2022/11/11,09 Sep 2023,240,227.0,3,7.0,3.0,5,Relocation / Personal Reasons,INACTIVE,onsite,company cab,6.92,56,31,72,76,5,3,High,3.0
EMP-0023,ARUN SHARMA,EMP-0350,,1999/01/19,arun.sharma@gmail.com,Operations,Team Lead,DELHI,LINKEDIN,0,Experienced,08 Dec 2023,04-20-2024,240,212.0,14,5.0,9.0,21,Better Compensation & Benefits,Inactive,Onsite,Company Cab,10.66,41,28,67,,8,2,High,2.0
EMP-0024,Vijay Rao,EMP-0100,male,1974-02-14,vijay.rao@yahoo.com,Technology,SENIOR EXECUTIVE,CHENNAI,Naukri,0,Experienced,2018/05/06,,240,225.0,6,5.0,4.0,20,,Active,Onsite,Company Cab,12.48,19,42,56,56,4,1,High,4.0
EMP-0025,  Anitha   Rao ,EMP-0140,female,27 Jul 1988,anitha.rao@gmail.com,Engineering,Senior Executive,DELHI,Employee Referral,"INR 2,500",Fresher,2022-01-26,,240,227.0,4,7.0,2.0,2,,Active,Hybrid,Company Cab,14.67 LPA,25,1,0.51,62%,6,3,Medium,3.0
EMP-0026,Pooja Kumar,DIR-0001,,31/05/1983,pooja.kumar@company.com,Human Resources,Manager,South - Bangalore,LinkedIn,0,Experienced,,,240,214.0,9,8.0,9.0,11,,Active,WFH,Company Cab,,80,,63%,71,5,2,HIGH,0.0
EMP-0027,kavitha sharma,EMP-0100,F,28/01/1995,  kavitha63@outlook.com ,Technology,  Senior Executive ,South - Chennai,LinkedIn,0,Experienced,,,240,225.0,5,7.0,3.0,3,,Active,Onsite,Company Cab,8.39,26,18,52,51,4,4,Low,3.0
EMP-0028,Ananya Singh,DIR-0001,male,1996/08/13,  ananya78@outlook.com ,IT,manager,BENGALURU,LinkedIn,0,Experienced,11-03-2022,,240,230.0,4,5.0,1.0,5,,Active,Hybrid,Own Vehicle,16.1,32,30,64,62,6,5,Low,2.0
EMP-0029,Pooja Venkatesh,EMP-0300,female,1993/12/06,  pooja48@outlook.com ,Ops,assistant manager,South - Chennai,LinkedIn,0,Experienced,09/11/2023,,240,224.0,6,7.0,3.0,6,,Active,Onsite,Company Cab,"$21,612",35,4,,65%,5,3,MEDIUM,2.0
EMP-0030,POOJA RAO,EMP-0050,female,17 Nov 1971,  pooja31@yahoo.com ,IT,executive,East - Kolkata,Walk-In,0,Fresher,2021/05/24,16/08/2023,240,229.0,3,5.0,3.0,2,Involuntary - Performance,INACTIVE,Onsite,Own Vehicle,4.64,94,18,83,95,2,3,Medium,2.0
EMP-0031,Ramesh Venkatesh,DIR-0001,female,11/12/1989,ramesh_venkatesh@yahoo.com,HR,Manager,West - Mumbai,naukri,0,Experienced,10-26-2018,,240,228.0,2 days,10.0,0.0,3,,Active,Hybrid,Company Cab,18.38 LPA,,33,62%,0.54,5,4,High,3.0
EMP-0032,Deepa Kumar,EMP-0320,F,18 Jul 2005,deepa.kumar@outlook.com,Operations,SENIOR EXECUTIVE,South - Chennai,Naukri,0,Experienced,2021-07-11,,240,224.0,3,10.0,3.0,2,,Active,Onsite,Own Vehicle,7.68,16,9,45,50,6,3,Medium,4.0
EMP-0433,Divya Reddy,EMP-0280,F,29 Sep 2000,  divya13@yahoo.com ,Finance,EXECUTIVE,North - Delhi,Walk-In,0,FRESHER,2023-02-15,,240,210.0,12,7.0,11.0,16,,active,WFH,Company Cab,5.09,23,24,57,58%,10,2,HIGH,1.0
EMP-0034,Manoj Sharma,EMP-0120,,24/01/1979,manoj_sharma@gmail.com,Engineering,  Executive ,South - Chennai,Naukri,0,Fresher,20 Jul 2019,,240,228.0,4,8.0,0.0,2,,ACTIVE,Hybrid,Company Cab,26.75,88,1,70,76,Medium,4,Low,2.0
EMP-0035,SNEHA JOSHI,EMP-0050,F,28/12/1993,SNEHA.JOSHI@OUTLOOK.COM,Technology,EXECUTIVE,South - Bangalore,Walk-In,0,Fresher,2018/11/02,,240,208.0,14,10.0,8.0,20,,Active,Hybrid,Company Cab,27.16,16,10,57,69,3,2,High,3.0
EMP-0036,PRADEEP JOSHI,,male,18/07/1994,,Engineering,Manager,BENGALURU,,,Experienced,2019/01/12,,240,230.0,4,4.0,2.0,7,,Active,wfh,Own Vehicle,23.31,18,30,62%,62,4,3,,5.0
EMP-0037,  Pooja   Rao ,EMP-0025,female,24 Mar 1968,pooja.rao@gmail.com,Human Resources,Team Lead,Bengaluru,Naukri,0,Experienced,19/07/2019,,240,230.0,3,7.0,0.0,5 times,,Active,Onsite,company cab,10.96 LPA,57,14,0.58,50%,5,3,Low,2.0
EMP-0038,sanjay reddy,EMP-0160,,18 Oct 1969,SANJAY.REDDY@YAHOO.COM,Sales & Mktg,  Senior Executive ,mumbai,Campus Drive,10434,Fresher,2023/05/10,,240,210.0,14,10.0,6.0,16,,Active,Hybrid,Own Vehicle,5.89,81,8,61,66,7,1,Medium,3.0
EMP-0039,  Kavitha   Singh ,EMP-0260,Female,1990-08-14,kavitha_singh@yahoo.com,Finance,ASSISTANT MANAGER,East - Kolkata,Campus Drive,,Experienced,08-07-2018,10-25-2020,240,,,,,,,Inactive,Hybrid,Own Vehicle,20.26,68,22,69,79,3,Low,Medium,4.0
EMP-0040,Vikram Reddy,EMP-0025,male,08 Sep 1985,vikram_reddy@outlook.com,HR,assistant manager,East - Kolkata,Recruitment Agency,69264,Experienced,2019/06/25,,240,226.0,2,10.0,2.0,4,,Active,Onsite,Company Cab,14.28,96,18,84,86,2,3,Medium,4.0
EMP-0041,PRIYA RAO,EMP-0050,F,1999-04-01,priya.rao@company.com,Technology,,chennai,Recruitment Agency,75296,Fresher,2021-04-17,,240,220.0,8,6.0,6.0,16,,Active,Onsite,Company Cab,"INR 649,000",91,8,66%,65%,6,2,high,4.0
EMP-0042,Arun Sharma,EMP-0075,male,1978-10-15,arun.sharma@yahoo.com,IT,  Team Lead ,West - Mumbai,Naukri,0,Experienced,2023/09/03,,240,228.0,6,4.0,2.0,8,,Active,Hybrid,OWN VEHICLE,15.63,48,34,65,66,7,3,High,4.0
EMP-0043,karthik kumar,EMP-0240,Male,22 Jul 1968,karthik.kumar@yahoo.com,Marketing,  Executive ,West - Mumbai,Employee Referral,2500,Fresher,2022-02-12,2022-05-19,240,221.0,6,4.0,9.0,22,Involuntary - Restructuring,Inactive,Onsite,Company Cab,4.34 LPA,27,20,62,69,4,1,High,0.0
EMP-0044,sanjay reddy,EMP-0350,male,12-14-1973,sanjay_reddy@yahoo.com,Ops,ASSISTANT MANAGER,BENGALURU,Company Career Site,0,Experienced,17/09/2018,16 Oct 2020,240,231.0,4,5.0,0.0,4,Involuntary - Performance,Resigned,Hybrid,Company Cab,25.78,68,8,69,70,7,4,Low,3.0
EMP-0045,MEERA JOSHI,EMP-0025,male,1997-01-18,meera_joshi@company.com,HR,senior executive,South - Chennai,Recruitment Agency,71741,Experienced,31 Jan 2021,,240,230.0,6,4.0,0.0,8,,Active,HYBRID,Company Cab,9.84,26,27,70,,5,3,Low,
EMP-0046,  Meera   Singh ,,,,meera.singh@outlook.com,Finance,  Manager ,North - Delhi,LinkedIn,0,Experienced,12 Jul 2019,,240,211.0,7 days,10.0,12.0,20,,,Hybrid,Company Cab,19.73,-15,6,66%,70,5,2,high,2.0
EMP-0047,  Karthik   Sharma ,EMP-0100,male,04 Apr 1975,karthik_sharma@yahoo.com,Technology,  Assistant Manager ,DELHI,Naukri,0,Experienced,2023/08/23,,240,229.0,3,5.0,3.0,3,,ACTIVE,ONSITE,company cab,11.14,40,15,57,59,7,3,MEDIUM,2.0
EMP-0048,  Anitha   Iyer ,EMP-0180,F,2001/07/09,anitha.iyer@outlook.com,Sales,ASSISTANT MANAGER,chennai,Campus Drive,13654,Experienced,,,240,225.0,4,8.0,3.0,4,,Active,Hybrid,COMPANY CAB,16.24,33,15,46,50,1,3,Medium,5.0
EMP-0049,  Karthik   Kumar ,DIR-0001,Male,,  karthik78@outlook.com ,Technology,Manager,North - Delhi,Naukri,0,Experienced,2023/11/01,,240,209.0,14,10.0,7.0,19,,Active,Hybrid,Company Cab,16.89 LPA,69,32,0.64,70%,3,1,High,3.0
EMP-0050,SNEHA REDDY,EMP-0320,F,15/08/2002,SNEHA.REDDY@COMPANY.COM,Ops,Senior Executive,BENGALURU,LinkedIn,0,Fresher,08/12/2020,,240,214.0,10,7.0,9.0,15,,Active,Onsite,Company Cab,8.03,54,3,60,60,6,1,High,3.0
EMP-0051,SANJAY SINGH,EMP-0010,Male,08/03/1986,SANJAY.SINGH@GMAIL.COM,HR,ASSISTANT MANAGER,DELHI,LinkedIn,0,Experienced,2022/09/16,2024-12-18,240,214.0,14,7.0,5.0,11,Relocation / Personal Reasons,Resigned,Onsite,Own Vehicle,,12,,51%,0.51,6,1,High,2.0
EMP-0052,  Ananya   Patel ,EMP-0350,F,12 Aug 1984,ananya.patel@outlook.com,Operations,  Senior Executive ,Bengaluru,LinkedIn,0,FRESHER,05-27-2023,2023-11-23,240,218.0,9,4.0,9.0,8,Better Career Growth,Resigned,Hybrid,Own Vehicle,22.49,46,38,71,78,8,2,High,3.0
EMP-0053,Karthik Singh,DIR-0001,M,1968-01-23,karthik_singh@yahoo.com,IT,  Manager ,BENGALURU,Company Career Site,0,Experienced,2019-04-21,,240,225.0,6,8.0,1.0,4,,ACTIVE,Onsite,Own Vehicle,26.52,52,39,61,59%,7,4,HIGH,3.0
EMP-0054,Sanjay Kumar,EMP-0025,,12-26-1998,sanjay_kumar@company.com,HR,  Executive ,South - Chennai,Naukri,0,Fresher,2023-03-15,,240,234.0,2,4.0,0.0,4,,,ONSITE,Company Cab,25.42,49,16,67,65,8,4,Low,3.0
EMP-0055,  Rajesh   Iyer ,DIR-0001,M,21 Apr 1981,rajesh_iyer@gmail.com,IT,Manager,BENGALURU,Company Career Site,0,Experienced,19 Dec 2018,,240,232.0,2,4.0,2.0,2 times,,Active,Onsite,Own Vehicle,18.15 LPA,99,36,75,72,5,Low,HIGH,4.0
EMP-0056,Meera Iyer,EMP-0100,,1999/04/24,MEERA.IYER@COMPANY.COM,IT,Executive,BENGALURU,Naukri,0,Fresher,28/06/2018,2021-02-14,240,227.0,6,5.0,2.0,8,Relocation / Personal Reasons,Resigned,Hybrid,Own Vehicle,26.09,64,38,62%,69,1,Very High,High,3.0
EMP-0057,  Vijay   Kumar ,EMP-0050,Male,21/08/2003,VIJAY.KUMAR@COMPANY.COM,Technology,executive,North - Delhi,Recruitment Agency,61786,EXPERIENCED,2024-05-21,,240,228.0,3,8.0,1.0,8,,Active,onsite,Public Transport,"$6,804",96,28,,67%,2,3,MEDIUM,1.0
EMP-0058,  Deepa   Patel ,EMP-0050,F,1971/08/19,deepa.patel@gmail.com,IT,senior executive,,Walk-In,0,Fresher,2018/10/18,,240,224.0,3,10.0,3.0,7,,Active,Onsite,Company Cab,8.3,48,35,61,57,3,3,High,3.0
EMP-0059,ananya reddy,EMP-0200,male,2001-01-01,ananya.reddy@outlook.com,Sales,  Executive ,chennai,Walk-In,0,Experienced,,,240,222.0,9,4.0,5.0,18,,Active,Work From Home,Company Cab,4.61,24,37,74,81,7,2,HIGH,2.0
EMP-0060,Arun Rao,EMP-0120,Female,04-06-1998,  arun50@company.com ,Engineering,Team Lead,chennai,Company Career Site,0,Experienced,2018/12/21,12-20-2020,240,226.0,5,6.0,3.0,7,Better Compensation & Benefits,Inactive,Onsite,Company Cab,11.47,13,38,44,50,3,3,High,3.0
EMP-0061,  Priya   Kumar ,EMP-0180,male,23 Dec 1972,PRIYA.KUMAR@YAHOO.COM,Sales,assistant manager,North - Delhi,walk-in,0,Experienced,18/07/2020,20 Aug 2023,240,225.0,5 days,10.0,0.0,2,Involuntary - Performance,Inactive,hybrid,Company Cab,13.02 LPA,,36,48%,50%,8,4,Medium,1.0
EMP-0062,Arun Joshi,EMP-0010,M,1995-10-09,arun_joshi@yahoo.com,HR,ASSISTANT MANAGER,North - Delhi,Walk-In,0,Experienced,2022/08/20,,240,229.0,2,7.0,2.0,2,,Active,Hybrid,Company Cab,10.15,34,34,70,72,8,4,High,4.0
EMP-0063,Karthik Rao,,,1975/11/11,KARTHIK.RAO@GMAIL.COM,Marketing,Manager,West - Mumbai,Company Career Site,0,Experienced,2022/08/16,,240,231.0,3,5.0,1.0,8,,Active,Onsite,Company Cab,23.8,22,6,57,67,8,3,Medium,4.0
EMP-0064,VIJAY SHARMA,EMP-0300,,25/02/1993,vijay.sharma@outlook.com,Ops,assistant manager,chennai,Employee Referral,5000,Experienced,19 Apr 2023,15/12/2023,240,229.0,3,7.0,1.0,5,Better Compensation & Benefits,Inactive,Onsite,company cab,12.24,91,26,78,79,7,4,Low,2.0
EMP-0065,  Manoj   Sharma ,EMP-0320,Male,09/01/1983,MANOJ.SHARMA@YAHOO.COM,Operations,ASSISTANT MANAGER,mumbai,LINKEDIN,0,experienced,04-27-2023,12/12/2023,240,217.0,13,5.0,5.0,15,Better Compensation & Benefits,Inactive,hybrid,COMPANY CAB,10.38,42,27,72,78%,5,2,High,3.0
EMP-0066,divya reddy,EMP-0240,Female,10 Feb 1997,  divya49@gmail.com ,Marketing,ASSISTANT MANAGER,North - Delhi,LinkedIn,0,Experienced,10-17-2018,,240,218.0,14,4.0,4.0,18,,Active,wfh,Own Vehicle,16.8,25,21 hrs,52%,58,5,2,High,4.0
EMP-0067,SURESH IYER,EMP-0075,Male,2001/09/29,suresh_iyer@outlook.com,Technology,Executive,BENGALURU,Walk-In,0,Fresher,2021/12/11,,240,224.0,6,10.0,0.0,2,,Active,Hybrid,own vehicle,6.95 LPA,51,13,62,,4,3,Low,3.0
EMP-0068,Deepa Nair,EMP-0280,Female,12/07/1999,DEEPA.NAIR@COMPANY.COM,Finance,  Executive ,East - Kolkata,Naukri,0,Fresher,01-21-2020,,240,229.0,3,5.0,3.0,8,,Active,Onsite,Company Cab,23.15,75,6,71,76,5,3,Medium,3.0
EMP-0069,Pradeep Rao,EMP-0050,Male,17/02/2002,pradeep.rao@yahoo.com,Technology,executive,South - Bangalore,Campus Drive,17042,Fresher,2022/01/14,07-23-2023,240,212.0,13,5.0,10.0,22,Involuntary - Restructuring,Inactive,Onsite,Own Vehicle,5.33,64,36,78,88%,4,1,High,4.0
EMP-0070,sanjay reddy,DIR-0001,Male,1979/12/29,sanjay.reddy@yahoo.com,Marketing,manager,chennai,Naukri,0,Experienced,2019-09-13,,240,219.0,6,5.0,10.0,8,,Active,Hybrid,Company Cab,27.68,51,21,59,58,High,1,Medium,3.0
EMP-0071,RAMESH SHARMA,,male,1980-06-06,,Technology,EXECUTIVE,South - Chennai,,,Fresher,23 Jan 2021,,240,226.0,5,6.0,3.0,5,,Active,Work From Home,company cab,"INR 2,242,000",43 Hours,4,64%,0.61,5,4,,2.0
EMP-0072,  Divya   Venkatesh ,EMP-0010,female,27 Jun 1983,divya.venkatesh@gmail.com,HR,Senior Executive,East - Kolkata,WALK-IN,0,Fresher,2022/10/25,,240,223.0,5,9.0,3.0,3,,Active,Onsite,Company Cab,8.37,39,1,57,54,4,4,Low,0.0
EMP-0073,Lakshmi Joshi,EMP-0200,,1991-08-17,LAKSHMI.JOSHI@YAHOO.COM,Sales & Mktg,  Executive ,South - Bangalore,LinkedIn,0,Experienced,2020/10/26,,240,230.0,3,6.0,1.0,1 times,,Active,Onsite,Own Vehicle,3.64 LPA,22,26,0.60,62%,7,3,High,3.0
EMP-0074,sneha venkatesh,EMP-0180,Female,1991/11/10,  sneha17@gmail.com ,Sales,SENIOR EXECUTIVE,South - Bangalore,Walk-In,0,FRESHER,20/02/2024,,240,225.0,6,9.0,0.0,6,,Active,Onsite,Own Vehicle,23.48,22,20,58,56,5,4,Medium,4.0
EMP-0075,KARTHIK JOSHI,EMP-0350,M,1988/04/10,karthik_joshi@yahoo.com,Operations,  Executive ,BENGALURU,Company Career Site,0,Fresher,07-22-2020,,240,219.0,6,4.0,11.0,16,,Active,Hybrid,Company Cab,20.82,27,37,47,50,5,2,High,3.0
EMP-0076,DIVYA RAO,,,1998-03-15,  divya8@gmail.com ,Finance,MANAGER,South - Bangalore,LinkedIn,0,Experienced,07-19-2019,,240,217.0,14 days,5.0,4.0,16,,Active,Onsite,Company Cab,,41,,67%,70,6,2,High,1.0
EMP-0077,  Meera   Patel ,EMP-0350,female,1988-07-15,meera_patel@company.com,Operations,  Assistant Manager ,BENGALURU,Walk-In,,Experienced,12-30-2022,05-13-2025,240,,,,,,Better Career Growth,Inactive,Onsite,Company Cab,22.4,48,20,60,68%,1,3,Medium,2.0
EMP-0078,  Priya   Sharma ,EMP-0220,F,01-08-1976,  priya99@outlook.com ,Marketing,SENIOR EXECUTIVE,South - Bangalore,Walk-In,0,Experienced,01-14-2023,,240,227.0,2,10.0,1.0,2,,Active,Hybrid,company cab,5.31,55,9,55,59,7,3,Low,3.0
EMP-0079,priya kumar,EMP-0260,female,1971-06-14,PRIYA.KUMAR@YAHOO.COM,Finance,  Assistant Manager ,North - Delhi,Campus Drive,16903,experienced,2022/06/15,,240,217.0,7,9.0,7.0,14,,Active,Hybrid,Company Cab,12.28 LPA,38,22,68,69,3,1,High,3.0
EMP-0080,  Suresh   Venkatesh ,EMP-0120,Male,09/01/1973,suresh.venkatesh@company.com,Engineering,senior executive,CHENNAI,Company Career Site,0,fresher,2018/02/09,2020-02-03,240,229.0,2,8.0,1.0,1,Relocation / Personal Reasons,Resigned,Hybrid,Own Vehicle,6.34,71,38,70,75,Low,3,Medium,2.0
EMP-0081,Pooja Kumar,EMP-0300,F,1977/02/28,pooja.kumar@outlook.com,Ops,,South - Chennai,Naukri,0,Experienced,06-24-2018,19/03/2019,240,214.0,7,7.0,12.0,13,Work-Life Balance / Burnout,Inactive,Onsite,Own Vehicle,"INR 2,465,000",71,4,64%,62%,5,2,High,4.0
EMP-0082,Rajesh Joshi,EMP-0320,Male,01-06-1969,  rajesh19@outlook.com ,Operations,  Assistant Manager ,North - Delhi,Company Career Site,0,Experienced,2019-02-13,,240,229.0,4,5.0,2.0,4,,Active,ONSITE,Company Cab,18.77,66,0,73,76,5,4,Low,3.0
EMP-0083,LAKSHMI JOSHI,EMP-0075,,1998/08/11,LAKSHMI.JOSHI@YAHOO.COM,Technology,EXECUTIVE,North - Delhi,Company Career Site,0,Fresher,2023-09-10,,240,228.0,4,7.0,1.0,5,,ACTIVE,Onsite,OWN VEHICLE,11.61,25,12,64,68,7,3,Medium,6.0
EMP-0084,ananya kumar,EMP-0320,Female,04-04-1989,ananya_kumar@outlook.com,,Executive,chennai,LinkedIn,0,Fresher,03-20-2018,15 Nov 2020,240,229.0,5,6.0,0.0,1,Better Career Growth,Inactive,WFH,Own Vehicle,5.06,65,20,77,81,6,3,Medium,3.0
EMP-0085,PRIYA NAIR,EMP-0120,female,2001-02-02,  priya19@company.com ,Engineering,TEAM LEAD,North - Delhi,LinkedIn,0,Experienced,10/08/2018,,240,227.0,5,8.0,0.0,2,,Active,hybrid,Own Vehicle,11.12 LPA,19,25,,60%,6,3,Low,
EMP-0086,  Karthik   Nair ,EMP-0100,M,1970-10-28,  karthik40@gmail.com ,IT,Team Lead,Bengaluru,LinkedIn,0,Experienced,2018/04/08,,240,209.0,14,5.0,12.0,12,,Active,HYBRID,Company Cab,11.47,39,44,61%,60,5,2,High,6.0
EMP-0087,VIKRAM VENKATESH,EMP-0180,M,1978/06/03,  vikram91@gmail.com ,Sales & Mktg,Team Lead,South - Chennai,Company Career Site,0,Experienced,08-15-2020,,240,231.0,3,6.0,0.0,4,,active,ONSITE,Own Vehicle,21.38,34,20,62,70,8,3,medium,3.0
EMP-0088,priya venkatesh,EMP-0220,female,1986/06/20,PRIYA.VENKATESH@OUTLOOK.COM,Marketing,Assistant Manager,DELHI,WALK-IN,0,Experienced,2018-12-07,08/11/2019,240,229.0,4,6.0,1.0,8,Involuntary - Performance,INACTIVE,onsite,Company Cab,19.12,93,17,85,98,6,3,MEDIUM,4.0
EMP-0089,MEERA PATEL,EMP-0050,F,12-23-1996,  meera91@outlook.com ,Technology,Senior Executive,South - Chennai,Recruitment Agency,64720,Fresher,2022/11/28,,240,209.0,14,9.0,8.0,17,,Active,WFH,own vehicle,25.24,14,36,52,,4,1,Medium,3.0
